,Chao1 kmers ITS,Chao1 OTUs ITS,Chao1 ASVs ITS,16S_id,Chao1 kmers,Chao1 OTUs,Chao1 ASVs,identifier,row,column,temperature,day,replicate,well,DNA yield,DNA_total_yield_per_1g,pH,TTA,estimate_bact,estimate_bact_CFUs,LAB CFUs,LAB_counts,bac_diff,yeast CFUs,mannitol,glucose,fructose,sucrose,maltose,succinic acid,lactic acid,acetic acid,ethanol,Observed features ASVs,Observed features OTUs,Observed features kmers,Shannon ASVs,Evenness ASVs,Simpson ASVs,Shannon OTUs,Evenness OTUs,Simpson OTUs,Shannon kmers,Evenness kmers,Simpson kmers,color,color2,Observed features ASVs ITS,Observed features OTUs ITS,Observed features kmers ITS,Shannon ASVs ITS,Evenness ASVs ITS,Simpson ASVs ITS,Shannon OTUs ITS,Evenness OTUs ITS,Simpson OTUs ITS,Shannon kmers ITS,Evenness kmers ITS,Simpson kmers ITS
366292_209-LP4-ITS-0709,747,2,4,366294_209-LP4-16S-0709,678,5,4,W00.00.00,E,5,20,0,0,E05,7.819449435,5212.964986,3.71,8.41,1.46E+13,13.16330154,9.2862,1932858226,3.877101544,6.95664,0.864598779,0.412388771,0.040404422,0,4.793423904,5.862572552,61.38363653,18.55172414,196.4527147,4,5,678,0.254628304,0.127314152,0.066791515,0.372545521,0.160446623,0.096606648,8.098100765,0.861029129,0.996015836,#000000,#000000,4,2,747,1.023699522,0.511849761,0.38777508,0.30104877,0.30104877,0.101260904,8.420115655,0.882152649,0.996797225
366292_121-LP4-ITS-0621,1052,4,6,366294_121-LP4-16S-0621,244,1,1,W30.02.28,E,6,30,28,2,E06,0.141937297,94.62486433,3.98,20.78,7.72E+11,11.88782708,8.06812549,116983736.8,3.819701594,4.07553,,,,,,,,,,1,1,244,0,0,0,0,0,0,7.918076414,0.998403563,0.995840377,#751c6d,#751c6d,6,4,1052,0.97362813,0.376650775,0.377948582,0.220637372,0.110318686,0.056099986,8.340575189,0.830824036,0.996682149
366292_212-LP4-ITS-0712,1253,7.5,7,366294_212-LP4-16S-0712,718,5,6,W30.03.21,H,5,30,21,3,H05,7.45204728,4968.030278,4.03,15.81,5.87E+12,12.76852489,8.777287462,598807818.2,3.991237427,2.77815,0.649644727,0.271669784,0.071408873,0,0,7.603819509,22.24034412,147.542069,144.172235,6,5,718,0.655997624,0.253774522,0.195222812,0.685716358,0.295321961,0.212396122,8.366055313,0.881766059,0.996451796,#6c1a64,#751c6d,7,7,1253,0.813641727,0.289825031,0.337532665,0.091994591,0.032769135,0.017630374,8.253067956,0.801956181,0.996594272
366292_225-LP4-ITS-0725,1212,5,7,366294_225-LP4-16S-0725,708,6,5,W17.02.14,E,7,17,14,2,E07,8.872885701,5915.255655,3.66,24.31,7.88E+12,12.89667665,8.93044,852000795,3.966236651,5.83425,1.037305852,0.14155678,0.021891556,0,0.014754214,7.329713537,313.1302088,680.4331034,230.2555226,5,5,708,1.169789099,0.503800743,0.513240997,1.130149762,0.48672901,0.508102493,8.915470071,0.941681614,0.997759192,#d5a157,#fdc067,7,5,1212,0.800344104,0.285088322,0.338124778,0.0516001,0.022222953,0.009682593,8.229967865,0.80345876,0.996577753
366292_201-LP4-ITS-0701,1204,5,8,366294_201-LP4-16S-0701,708,5,5,W04.02.04,E,4,4,4,2,E04,34.97111893,23314.07346,3.64,10.01,1.39E+13,13.14146859,9.29376,1966799096,3.847708587,7.30103,1.326988284,0.178844671,0.002532177,0,0.15169667,7.509455158,124.6204857,27.42344828,343.8402801,5,5,708,1.006434775,0.433447865,0.373781163,1.006434775,0.433447865,0.373781163,8.514534606,0.899333476,0.996922717,#465870,#9ec8ff,8,5,1204,1.14451675,0.381505583,0.39008989,0.329954231,0.142103552,0.08307716,8.529650555,0.833493018,0.996862314
366292_217-LP4-ITS-0717,1204,5,8,366294_217-LP4-16S-0717,588,3,3,W04.02.01,E,6,4,1,2,E06,7.886102038,5257.400044,3.68,9.64,2.04E+13,13.31020671,10.1473,14037830687,3.162906715,7.32463,1.662475393,0.361471555,0.059189645,0.012902929,1.169467922,7.237595956,104.9359262,29.76551724,361.7054683,3,3,588,0.110566017,0.06975939,0.026024931,0.164390206,0.103718672,0.041385042,7.996929351,0.86926241,0.995870674,#202833,#9ec8ff,8,5,1204,1.139326871,0.379775624,0.414038111,0.249388945,0.107405973,0.058532023,8.480430844,0.828683409,0.996810354
366292_239-LP4-ITS-0739,1536,5,8.2,366294_239-LP4-16S-0739,708,5,5,W30.01.21,C,9,30,21,1,C09,0.688271155,458.8473218,3.72,14.53,1.33E+11,11.12491485,7.906549814,80639869.08,3.218365036,4.4663,1.419683322,0.255933833,0.081743689,0,0,6.60175997,117.818801,66.41655172,325.4447006,5,5,708,1.735281645,0.747345126,0.650204329,1.754188809,0.755487998,0.661634349,9.258897324,0.977955543,0.998273582,#6c1a64,#751c6d,8,5,1536,0.767786894,0.255928965,0.331337021,0.036299485,0.015633337,0.006276232,8.216055564,0.776200725,0.996566094
366292_247-LP4-ITS-0747,1306,11,11,366294_247-LP4-16S-0747,718,5,6,W30.02.14,C,10,30,14,2,C10,3.495158589,2330.105143,3.82,14.58,2.47E+11,11.39287626,7.880538667,75951904.27,3.512337594,4.52243,1.48442342,0.225809686,0.069840984,0,0,6.26249766,219.896048,76.15724138,409.0389237,6,5,718,1.468243207,0.567994007,0.534515235,1.479993538,0.637398523,0.544649508,9.105236007,0.959674275,0.997962386,#62185c,#751c6d,8,8,1306,0.796849678,0.265616559,0.340898385,0.067620156,0.022540052,0.011956245,8.221208178,0.794247559,0.996571573
366292_215-LP4-ITS-0715,1494,12,9,366294_215-LP4-16S-0715,708,5,5,W17.01.10,C,6,17,10,1,C06,5.322415322,3548.275994,3.69,17.38,2.14E+12,12.33104244,8.42619,266802564.7,3.904852436,5.14613,1.250506109,0.104202109,0.015332923,0,0.012665718,8.165512076,145.6635899,122.6565517,372.9140655,5,5,708,1.264697142,0.544675412,0.540789474,1.248222575,0.537580202,0.53466759,8.995822963,0.950168753,0.997900759,#c0924e,#fdc067,9,9,1494,0.823899265,0.25991128,0.342511347,0.070262667,0.022165404,0.012521633,8.242883108,0.781689038,0.996586089
366292_130-LP4-ITS-0630,1352,14.33333333,10,366294_130-LP4-16S-0630,708,5,5,W17.02.28,F,7,17,28,2,F07,5.455441525,3636.961016,3.75,24.63,1.92E+11,11.28425472,9.05917,1145961428,2.225084724,5.28483,,,,,,,,,,5,5,708,1.599480748,0.688858863,0.607437673,1.605405221,0.691410395,0.607506925,9.180647352,0.96969052,0.998147742,#fdc067,#fdc067,10,11,1352,0.862660574,0.259686709,0.347351122,0.155547232,0.044963234,0.032242389,8.269657101,0.795092103,0.996609999
366292_147-LP4-ITS-0647,1746,11,17.5,366294_147-LP4-16S-0647,244,1,1,W30.01.28,G,9,30,28,1,G09,2.869969651,1913.313101,3.64,14.8,89700355471,10.95279416,7.278115291,18972095.02,3.674678873,4.23572,,,,,,,,,,1,1,244,0,0,0,0,0,0,7.918076414,0.998403563,0.995840377,#751c6d,#751c6d,10,9,1746,0.789498869,0.237662841,0.337960603,0.062363265,0.01967342,0.010820735,8.220963683,0.763332169,0.996570172
366292_195-LP4-ITS-0695,1601,17,10,366294_195-LP4-16S-0695,718,4,7,W17.01.07,G,3,17,7,1,G03,2.556494854,1704.329477,3.65,14.93,2.51E+12,12.39986401,9.05945,1146700495,3.340414008,6.95084,0.958089984,0.062063514,0.016230962,0,0.011722526,6.271484741,77.98906712,59.10068966,390.3819422,6,4,718,1.217588157,0.471027396,0.529279778,1.075338041,0.537669021,0.504307479,8.937947107,0.942042348,0.997841682,#ac8346,#fdc067,10,12,1601,0.913878653,0.275104887,0.367037193,0.145127197,0.040482208,0.028334741,8.294844195,0.779242188,0.996630455
366292_224-LP4-ITS-0724,1522,14,10,366294_224-LP4-16S-0724,728,5,7,W17.03.14,D,7,17,14,3,D07,10.01508373,6676.720815,3.75,15.04,8.28E+12,12.918066,8.75698,571452319.7,4.161086002,6.02854,1.292641735,0.120423738,0.025549964,0,0.023770677,8.13780191,399.772381,266.5462069,714.0048304,7,5,728,1.458362495,0.519479202,0.565799458,1.441522133,0.620829791,0.574819945,9.019030752,0.948593348,0.997878947,#d5a157,#fdc067,10,11,1522,0.8489792,0.255568205,0.339357453,0.111998872,0.032374935,0.021020673,8.2776321,0.78299525,0.996611159
366292_238-LP4-ITS-0738,1438,11,10,366294_238-LP4-16S-0738,678,4,4,W04.02.10,B,9,4,10,2,B09,3.77705033,2518.032924,3.56,11,4.04E+12,12.6067306,8.27161,186900300.7,4.335120595,5.42717,1.677569167,0.361149794,0.0510484,0.027115724,2.163097956,6.695375398,135.963796,26.65103448,310.3162928,4,4,678,0.178889614,0.089444807,0.041495845,0.216905831,0.108452915,0.051703601,8.075717869,0.858649272,0.995958607,#7898c2,#9ec8ff,10,11,1438,0.898613103,0.270509499,0.363577135,0.165868183,0.047946657,0.03446076,8.273687775,0.788732859,0.996615941
366292_252-LP4-ITS-0752,1693,13.33333333,10.33333333,366294_252-LP4-16S-0752,718,5,6.5,W30.03.14,H,10,30,14,3,H10,0.645678516,430.4522362,3.89,24.41,1.18E+11,11.0714917,8.082111253,120812328,2.98938045,3.20412,1.272024898,0.251672013,0.083767959,0,0,39.03388878,136.7972041,521.8151724,194.815628,6,5,718,0.637591291,0.246653981,0.202282078,0.627321191,0.270172531,0.189875346,8.382453413,0.883494387,0.996497856,#62185c,#751c6d,10,10,1693,0.802934721,0.241707435,0.320829791,0.086717372,0.02610453,0.015937305,8.267117395,0.770800474,0.996601982
366292_176-LP4-ITS-0676,1682,12.33333333,12.5,366294_176-LP4-16S-0676,658,5,5,W30.02.10,D,1,30,10,2,D01,5.169602037,3446.400496,3.81,24.41,1.21E+12,12.08343812,7.499136995,31560000.03,4.584301121,3.4984,1.324249023,0.196268351,0.038196128,0,0,33.91349934,148.9559996,398.1931034,244.4477135,5,5,658,1.05713418,0.45528291,0.369518452,0.98821823,0.425602426,0.353545706,8.66540931,0.925599376,0.997040171,#591553,#751c6d,11,12,1682,0.811585987,0.234600963,0.325499955,0.159645548,0.044531999,0.030582698,8.253103712,0.770169185,0.996591439
366292_223-LP4-ITS-0723,1953,11.33333333,11,366294_223-LP4-16S-0723,678,3,5,W04.03.02,C,7,4,2,3,C07,6.382679416,4255.118547,3.67,10.82,5.48E+12,12.73863154,10.18605,15347936723,2.552581541,7.36211,1.426331041,0.261409847,0.018100651,0,0.63091667,7.492978843,110.8737342,28.21241379,332.4786231,4,3,678,0.200251887,0.100125944,0.05161479,0.188301162,0.118804805,0.051503401,8.055360919,0.856484823,0.995954662,#2c3847,#9ec8ff,11,11,1953,0.895258231,0.258787665,0.352994532,0.162992421,0.047115376,0.032811039,8.303356775,0.759582384,0.996631601
366292_231-LP4-ITS-0731,1840,9,12.5,366294_231-LP4-16S-0731,708,5,5,W30.03.06,C,8,30,6,3,C08,8.445983905,5630.654529,3.81,14.86,2.99E+12,12.47601674,8.162566824,145400809.4,4.313449919,5.30701,0.881797108,0.076542775,0.018115373,0,0,5.962179367,60.62908863,51.70206897,256.8244105,5,5,708,1.700590074,0.73240428,0.616773762,1.661812858,0.715703842,0.586239305,9.173989178,0.968987262,0.998046617,#461141,#751c6d,11,9,1840,0.83691192,0.241921799,0.344985177,0.088440757,0.027899952,0.015923265,8.259147145,0.761528258,0.996596589
366292_243-LP4-ITS-0743,1829,9,11,366294_243-LP4-16S-0743,473,2,2,W30.01.02,G,9,30,2,1,G09,8.075980673,5383.98577,3.61,11.75,3.07E+12,12.48671094,9.81672,6557223702,2.669990944,7.19432,1.694049275,0.080033582,0.010739671,0,0,7.377644636,165.240613,35.38206897,384.1760896,2,2,473,0.900485433,0.900485433,0.432622977,0.900485433,0.900485433,0.432622977,8.834947315,0.99428868,0.997730643,#21081f,#751c6d,11,9,1829,0.974236003,0.281617361,0.36239871,0.233466733,0.073650554,0.052491082,8.360834608,0.771519659,0.996683781
366292_124-LP4-ITS-0624,1793,10,13,366294_124-LP4-16S-0624,653,4,4,W17.01.28,H,6,17,28,1,H06,4.522389432,3014.926288,3.69,30.56,6.62E+11,11.82063882,8.88752,771827058.7,2.933118819,5.28359,,,,,,,,,,4,4,653,1.569584466,0.784792233,0.618739612,1.569491579,0.784745789,0.618684211,9.157470741,0.979310266,0.998140461,#fdc067,#fdc067,13,10,1793,0.928589924,0.250940427,0.358618578,0.16903703,0.050885216,0.033944252,8.311907481,0.769040027,0.996643188
366292_146-LP4-ITS-0646,1838,16,13,xxx,,,,W04.03.28,F,9,4,28,3,F09,6.8577552,4571.8368,3.53,12.75,1.24E+12,12.09498975,9.23602,1721936960,2.85897,7.25042,,,,,,,,,,,,,,,,,,,,,,#9ec8ff,#9ec8ff,13,14,1838,0.966521459,0.261190975,0.34916337,0.230189694,0.060459216,0.04785134,8.38627991,0.773362317,0.99670347
366292_180-LP4-ITS-0680,2102,14.2,13.33333333,366294_180-LP4-16S-0680,678,5,4,W17.01.14,H,1,17,14,1,H01,4.923149972,3282.099161,3.62,26.45,4.75E+12,12.67711307,9.0141,1032999235,3.663013073,6.02912,1.143346437,0.113788169,0.01531084,0,0.008690838,6.835424078,229.7696926,456.9765517,272.2189532,4,5,678,1.076226157,0.538113078,0.506164674,1.10717106,0.476832621,0.512360677,8.885615194,0.944761462,0.997776323,#d5a157,#fdc067,13,13,2102,0.863701626,0.233405133,0.344785436,0.142572965,0.038528655,0.026675959,8.28173546,0.750323917,0.996610454
366292_200-LP4-ITS-0700,1888,11,13.33333333,366294_200-LP4-16S-0700,366.3448276,1,2,W17.01.01 ,D,4,17,1,1,D04,5.08246595,3388.309786,3.54,10.45,2.58E+13,13.41240006,10.01649,10386996852,3.395910061,7.38233,1.617294287,0.14130787,0.03040085,0,0.093813892,8.463583599,259.9408549,43.2137931,517.4802942,2,1,361,0.02726704,0.02726704,0.00546444,0,0,0,7.926607976,0.932997085,0.995792091,#332615,#fdc067,13,11,1888,0.900850168,0.243444087,0.354372094,0.168357774,0.048666311,0.032890593,8.299694241,0.762654275,0.996627694
366292_213-LP4-ITS-0713,1958,17,14,366294_213-LP4-16S-0713,678,5,4,W30.01.06,A,6,30,6,1,A06,7.0947243,4729.815017,3.83,15.98,4.39E+12,12.64237943,8.014880895,103485831.8,4.627498539,5.07826,1.549870604,0.13021621,0.011799652,0,0,6.583036884,100.7276638,182.9544828,277.5251827,4,5,678,1.10474317,0.552371585,0.446023111,1.15751764,0.498515713,0.443144044,8.808572852,0.936569948,0.997402024,#461141,#751c6d,13,12,1958,0.912146072,0.246496671,0.357987898,0.13828008,0.038572253,0.026096755,8.308747177,0.759819092,0.996635708
366292_233-LP4-ITS-0733,1939,10.5,15,366294_233-LP4-16S-0733,708,5,5,W30.01.10,E,8,30,10,1,E08,7.540809039,5027.204769,3.82,18.28,4.03E+12,12.60554207,7.464489547,29139999.97,5.141052518,3.88784,1.342572007,0.17783689,0.030209464,0,0,24.32952631,153.9098486,200.2124138,308.457789,5,5,708,1.162348214,0.500596128,0.39965374,1.192149914,0.513431022,0.411814404,8.771202996,0.926443645,0.997205598,#591553,#751c6d,13,9,1939,0.853630927,0.230683646,0.347373503,0.130225217,0.041081482,0.026091604,8.257252817,0.756082722,0.996596684
366292_235-LP4-ITS-0735,2142,7,14,366294_235-LP4-16S-0735,718,5,6,W30.01.07,G,8,30,7,1,G08,7.074565951,4716.376122,3.78,20.67,3.03E+12,12.48195832,8.459127583,287824383.4,4.022830733,4.86018,1.402780076,0.142418858,0.028590049,0,0,20.93765213,198.9855722,274.3227586,358.2299801,6,5,718,1.042171015,0.403166783,0.358602349,1.068615617,0.460227696,0.369238227,8.684559559,0.915335791,0.997053077,#50134a,#751c6d,13,7,2142,0.87986223,0.237772345,0.352070554,0.09629982,0.034302688,0.018767215,8.289873403,0.749215194,0.996619586
366292_240-LP4-ITS-0740,1829,12,13.5,366294_240-LP4-16S-0740,678,5,4,W04.01.04,D,9,4,4,1,D09,5.447592162,3631.7272,3.65,9.96,1.01E+13,13.00481129,9,1000000000,4.004811291,7.33935,1.206856094,0.15596926,0,0,0.144521676,8.844036697,192.6409176,35.55310345,423.4817336,4,5,678,0.196934134,0.098467067,0.04694327,0.31508872,0.135701326,0.081648199,8.066311779,0.857649171,0.995953214,#465870,#9ec8ff,13,11,1829,0.916918408,0.247786338,0.342523771,0.214841597,0.062103149,0.046170054,8.336159478,0.769242692,0.996661976
366292_241-LP4-ITS-0741,1996,9,14.5,366294_241-LP4-16S-0741,473,2,2,W04.01.21,E,9,4,21,1,E09,5.154645843,3436.429703,3.48,12.05,4.20E+12,12.62336612,9.40085,2516807503,3.222516121,7.11261,1.546246094,0.222470653,0.015524308,0,0,6.085751732,138.0446277,29.4262069,339.4242568,2,2,473,0.897427193,0.897427193,0.430603614,0.897427193,0.897427193,0.430603614,8.698538435,0.978937167,0.997368497,#91b8eb,#9ec8ff,13,9,1996,0.878217902,0.237327985,0.340378673,0.158021057,0.049850093,0.031706739,8.298396495,0.756952952,0.996625604
366292_244-LP4-ITS-0744,1870,17,13.75,366294_244-LP4-16S-0744,678,5,4,W17.01.21,H,9,17,21,1,H09,4.184769182,2789.845424,3.43,15.18,1.53E+12,12.1860716,9.02263,1053488987,3.163441598,5.07918,1.42858592,0.159581487,0.021398371,0,0,6.618985209,162.8748096,35.89793103,401.473317,4,5,678,0.594271602,0.297135801,0.185277008,0.738278842,0.31795939,0.225955679,8.462737959,0.899799114,0.996601297,#e9b15f,#fdc067,13,15,1870,0.88703472,0.239710626,0.352328581,0.154908403,0.039650049,0.028901247,8.285210148,0.762291417,0.996617491
366292_245-LP4-ITS-0745,1944,15,13,366294_245-LP4-16S-0745,708,5,5,W30.03.10,A,10,30,10,3,A10,1.207511191,805.0072594,3.81,15.34,3.59E+11,11.55524685,7.460296327,28860000.02,4.094950521,4.06306,1.287480567,0.150572169,0.031232641,0,0,6.383074331,106.3589927,100.0744828,289.5413815,5,5,708,1.514710408,0.652350265,0.592562327,1.515264409,0.65258886,0.593240997,9.132848968,0.964641896,0.998073991,#591553,#751c6d,13,14,1944,0.860962926,0.232665032,0.342935424,0.142677936,0.037474294,0.0266778,8.271214678,0.757103582,0.996604968
366292_249-LP4-ITS-0749,1859,12.6,15,366294_249-LP4-16S-0749,708,5,5,W17.03.21,E,10,17,21,3,E10,11.92459953,7949.73103,3.63,24.13,9.59E+11,11.98189015,9.23115,1702746515,2.750740153,5.33888,0.782170403,0.155040402,0.011277022,0,0,6.699120015,50.03315709,221.4703448,155.1663678,5,5,708,0.853647797,0.367646095,0.30734072,1.02235019,0.440302261,0.371899388,8.564327727,0.904592791,0.996860863,#e9b15f,#fdc067,13,12,1859,0.879233525,0.237602445,0.350811588,0.158158413,0.044117174,0.031693517,8.281079509,0.762508502,0.996614775
366292_142-LP4-ITS-0642,1799,10,14.14285714,366294_142-LP4-16S-0642,244,2,1,W17.03.28,B,9,17,28,3,B09,4.136131814,2757.421209,3.73,14.04,6.43E+11,11.80832105,8.88348,764680472.8,2.924841052,5.52485,,,,,,,,,,1,2,244,0,0,0,0.995727452,0.995727452,0.49704142,7.918076414,0.998403563,0.995840377,#fdc067,#fdc067,14,10,1799,0.914729464,0.240253268,0.354880406,0.182730437,0.055007343,0.038921796,8.305320522,0.768088069,0.99663808
