,Chao1 kmers ITS,Chao1 OTUs ITS,Chao1 ASVs ITS,16S_id,Chao1 kmers,Chao1 OTUs,Chao1 ASVs,identifier,row,column,temperature,day,replicate,well,DNA yield,DNA_total_yield_per_1g,pH,TTA,estimate_bact,estimate_bact_CFUs,LAB CFUs,LAB_counts,bac_diff,yeast CFUs,mannitol,glucose,fructose,sucrose,maltose,succinic acid,lactic acid,acetic acid,ethanol,Observed features ASVs,Observed features OTUs,Observed features kmers,Shannon ASVs,Evenness ASVs,Simpson ASVs,Shannon OTUs,Evenness OTUs,Simpson OTUs,Shannon kmers,Evenness kmers,Simpson kmers,color,color2,Observed features ASVs ITS,Observed features OTUs ITS,Observed features kmers ITS,Shannon ASVs ITS,Evenness ASVs ITS,Simpson ASVs ITS,Shannon OTUs ITS,Evenness OTUs ITS,Simpson OTUs ITS,Shannon kmers ITS,Evenness kmers ITS,Simpson kmers ITS
366292_193-LP4-ITS-0693,2179,19.75,19.33333333,366294_193-LP4-16S-0693,451,4,3,W04.02.14,E,3,4,14,2,E03,4.605168284,3070.111422,3.59,11.93,4.88E+12,12.68816255,8.92716,845590314.8,3.761002551,6.90036,1.811737286,0.245194289,0.023709718,0.008265704,0.044251412,9.354053548,356.5677928,70.22896552,662.960808,3,4,451,0.168363299,0.106225414,0.041440443,0.157879637,0.078939819,0.036357341,8.022190398,0.909856561,0.99591507,#85a8d6,#9ec8ff,16,16,2179,0.932817949,0.233204487,0.354468571,0.207744213,0.051936053,0.044430041,8.32401755,0.75062489,0.996650062
366292_227-LP4-ITS-0727,2288,12,17,366294_227-LP4-16S-0727,718,5,6,W30.03.02,G,7,30,2,3,G07,5.763623042,3842.414401,3.62,11.53,1.30E+12,12.1135824,9.882637822,7631990516,2.230944582,7.16122,1.828957885,0.086213828,0.015531669,0,0,7.38513387,164.0595035,37.16137931,373.4206706,6,5,718,1.497001563,0.579119257,0.521897507,1.530719818,0.659245143,0.539261074,9.051491319,0.954009689,0.997757301,#21081f,#751c6d,16,12,2288,0.965606915,0.241401729,0.356898911,0.272177314,0.075921942,0.057827376,8.356335081,0.748784178,0.996675797
366292_118-LP4-ITS-0618,2260,12.5,20,366294_118-LP4-16S-0618,718,5,6,W04.02.28,B,6,4,28,2,B06,5.473261585,3648.841056,3.48,13.74,9.59E+11,11.98189015,9.13133,1353100330,2.850560153,7.03433,,,,,,,,,,6,5,718,1.126453935,0.435771867,0.354196676,0.897435653,0.386504498,0.288573407,8.624817617,0.909039105,0.996927816,#9ec8ff,#9ec8ff,17,11,2260,0.892920305,0.218453437,0.35049525,0.142412699,0.041166502,0.027770831,8.28983184,0.744009351,0.996619406
366292_132-LP4-ITS-0632,2241,21,17.33333333,366294_132-LP4-16S-0632,728,5,7,W04.01.28,H,7,4,28,1,H07,5.961593758,3974.395838,3.5,13.61,1.19E+12,12.07595187,9.01837,1043205817,3.057581871,7.09691,,,,,,,,,,7,5,728,1.319615338,0.470056468,0.444598338,1.023748053,0.440904288,0.353559557,8.665578828,0.911418384,0.997110237,#9ec8ff,#9ec8ff,17,16,2241,1.102181698,0.26964935,0.394634442,0.396778635,0.099194659,0.091695927,8.425942942,0.757052853,0.996740732
366292_184-LP4-ITS-0684,2442,16.2,20,366294_184-LP4-16S-0684,678,5,4,W17.02.03,D,2,17,3,2,D02,7.135366131,4756.909565,3.57,11.5,7.93E+12,12.89911269,9.20538,1604648816,3.693732693,7.35998,1.580670589,0.073306949,0.012793384,0,0.024590356,7.284778131,164.7387759,32.25655172,414.5714983,4,5,678,0.31709149,0.158545745,0.086895664,0.430652857,0.18547209,0.11598338,8.172037632,0.868890454,0.996112961,#5b4525,#fdc067,17,15,2442,0.963723032,0.235775362,0.36682145,0.223184295,0.057125811,0.045698096,8.332699865,0.740431206,0.996652543
366292_187-LP4-ITS-0687,2331,19.75,17.33333333,366294_187-LP4-16S-0687,688,5,6,W17.01.05,G,2,17,5,1,G02,4.515756255,3010.503418,3.7,13.09,1.35E+12,12.13065213,8.85466,715582976,3.275992134,6.84347,1.360165636,0.070222896,0.010445231,0,0.021704638,7.69593709,186.1887266,41.15310345,384.486137,5,5,688,0.718423798,0.309408289,0.250637119,0.668381926,0.287856428,0.211052632,8.610894446,0.913500169,0.996958258,#846436,#fdc067,17,16,2331,0.995001782,0.243427725,0.353453379,0.235526607,0.058881652,0.048474136,8.381964417,0.74927722,0.996691933
366292_210-LP4-ITS-0710,2255,16.6,19,366294_210-LP4-16S-0710,491,5,5,W04.03.05,F,5,4,5,3,F05,7.068388393,4712.257751,3.65,10.17,8.66E+12,12.93728514,8.84352,697461115.4,4.093765136,6.37483,1.731903414,0.579388981,0.053440719,0.102862093,4.55924287,6.557573488,111.9007079,24.58206897,285.5574584,5,5,491,0.394197547,0.169771643,0.106149584,0.362073384,0.155936519,0.09686179,8.113875632,0.907635073,0.99607058,#526885,#9ec8ff,17,16,2255,0.97073636,0.237491177,0.362804304,0.213637756,0.053409439,0.041811949,8.348204331,0.749463192,0.996666188
366292_220-LP4-ITS-0720,2327,22.66666667,18.5,366294_220-LP4-16S-0720,603,3,3,W04.03.03,H,6,4,3,3,H06,4.445527171,2963.68404,3.64,10.46,1.09E+13,13.03570984,9.28575,1930856507,3.749959838,7.02859,1.502768675,0.594007874,0.039211944,0.009635793,5.130637405,7.088560195,132.2502016,25.32137931,294.8530513,3,3,603,0.14870122,0.093820024,0.036396294,0.113842629,0.071826702,0.026052632,8.066936179,0.873421804,0.995953777,#39485c,#9ec8ff,17,18,2327,0.988757317,0.241900014,0.364360889,0.217601517,0.052183557,0.044014646,8.367426255,0.748143339,0.996685841
366292_221-LP4-ITS-0721,2411,15.75,17,366294_221-LP4-16S-0721,708,5,5,W04.01.14,A,7,4,14,1,A07,6.720819452,4480.545181,3.63,11.98,3.42E+12,12.5342432,8.90728,807755641.7,3.626963199,6.87714,1.163523433,0.148690169,0.014162527,0.019994271,0.0260276,7.526680397,214.2288736,39.87862069,435.3340896,5,5,708,0.498031645,0.214490555,0.148690137,0.355242646,0.15299468,0.091923615,8.287879045,0.875393361,0.996316605,#85a8d6,#9ec8ff,17,15,2411,1.045336214,0.255742072,0.376448142,0.243404741,0.062301397,0.049562969,8.393241918,0.747034375,0.996706237
366292_255-LP4-ITS-0755,2285,15,17,366294_255-LP4-16S-0755,708,5,5,W04.01.01,C,11,4,1,1,C11,7.974213528,5316.141023,3.66,9.59,7.97E+11,11.90126429,10.21629,16454701186,1.68497429,7.51433,1.678354199,0.276854392,0.039285553,0.02639304,0.925282319,13.45740498,368.9667533,84.27862069,832.7416353,5,5,708,0.298040098,0.128358883,0.077225619,0.399878614,0.172218345,0.106543396,8.122250029,0.857899073,0.996045424,#202833,#9ec8ff,17,15,2285,1.027451935,0.251366673,0.37644424,0.252988635,0.064754471,0.053929472,8.378933325,0.750936504,0.996692602
366292_173-LP4-ITS-0673,2477,18.5,18.75,366294_173-LP4-16S-0673,718,5,6,W30.02.21,A,1,30,21,2,A01,0.1,66.666666,3.65,13.86,1.31E+12,12.11859867,7.666149273,46360624.02,4.452449397,5.11255,1.342460655,0.220291175,0.039815544,0,0,6.63246583,130.1711623,39.73793103,362.5494444,6,5,718,1.911743408,0.739563304,0.687368775,1.800443955,0.775409005,0.661455976,9.162722168,0.965733205,0.998022413,#6c1a64,#751c6d,18,16,2477,0.975266338,0.233881026,0.35517745,0.259308053,0.064827013,0.053487883,8.357677726,0.741298333,0.996672401
366292_179-LP4-ITS-0679,2664,20,21.75,366294_179-LP4-16S-0679,718,6,9,W17.03.06,G,1,17,6,3,G01,6.556951588,4371.299966,3.62,12.97,1.62E+12,12.21000801,8.98408,964006583.8,3.225928007,6.73878,1.320669054,0.073829052,0.021817946,0,0.035291091,7.154465456,145.8535711,38.06896552,328.1366902,6,5,718,0.896943008,0.346984921,0.340780139,0.939898441,0.404792226,0.3566759,8.768012893,0.924131611,0.99734212,#98733e,#fdc067,18,18,2664,0.958476068,0.22985451,0.357568067,0.229991965,0.05515494,0.045318815,8.347267419,0.733543358,0.996664003
366292_188-LP4-ITS-0688,2355,27.5,18,366294_188-LP4-16S-0688,688,3,5,W04.01.05,H,2,4,5,1,H02,6.647339021,4431.558239,3.71,10.25,7.45E+12,12.87199068,8.42728,267473031.5,4.444710685,6.33127,1.440222212,0.187781137,0,0,0.089872698,6.852649317,101.8567972,29.96689655,332.5647894,5,3,688,0.187429384,0.080721442,0.041537396,0.092802199,0.058551668,0.020872576,8.020375035,0.850853996,0.995888431,#526885,#9ec8ff,18,24,2355,1.132834998,0.271667955,0.394350839,0.429416708,0.093657627,0.091240921,8.43435979,0.752966232,0.996743513
366292_199-LP4-ITS-0699,2418,20.5,18.5,366294_199-LP4-16S-0699,718,5,6,W30.02.04,C,4,30,4,2,C04,6.222713168,4148.474408,3.65,12.23,2.96E+12,12.47126383,8.439958692,275396674.7,4.031305141,5.12605,1.469090239,0.087871203,0.006404053,0,0,6.683392623,135.0569047,31.70758621,353.8377673,6,5,718,0.89426408,0.34594857,0.285854259,0.8751416,0.376902972,0.287853186,8.576181807,0.903912985,0.996830275,#330c30,#751c6d,18,17,2418,0.911595497,0.218611965,0.34983451,0.164023143,0.040128351,0.031143991,8.308329438,0.73920162,0.996632436
